Symbol,Security,GICS Sector,GICS Sub-Industry,Total Revenue,Gross Profit,Operating Income,Net Income,EBITDA,Interest Expense,Total Assets,Total Liabilities Net Minority Interest,Current Assets,Current Liabilities,Total Debt,Stockholders Equity,Inventory,Operating Cash Flow,Capital Expenditure,Free Cash Flow,Revenue Growth (YoY),Negative Equity Flag,Net Margin,Operating Margin,ROA,ROE,Current Ratio,Quick Ratio,Debt-to-Equity,Interest Coverage Ratio,Asset Turnover
ALB,Albemarle Corporation,Materials,Specialty Chemicals,5142733000.0,668719000.0,67285000.0,-510628000.0,314256000.0,207651000.0,16374211000.0,6592750000.0,4008139000.0,1798044000.0,3296651000.0,9533365000.0,1179271000.0,1282267000.0,-589801000.0,692466000.0,-0.0436618995426521,False,-0.09929117455640804,0.013083510265845028,-0.031184891901050987,-0.053562199705979995,2.2291662495467297,1.5733029892483166,0.3458014038065258,0.3240292606344299,0.3140751636826959
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2945175000.0,2022570000.0,555045000.0,-1429570000.0,360450000.0,226698000.0,34081835000.0,14925399000.0,939781000.0,2182600000.0,12761098000.0,15470070000.0,0.0,1414046000.0,,1414046000.0,-0.0342757629751851,False,-0.48539390698345597,0.18845908986732537,-0.04194521803183426,-0.09240876091704821,0.4305786676440942,0.4305786676440942,0.8248894801380989,2.4483894873355743,0.08641480131571554
ALGN,Align Technology,Health Care,Health Care Supplies,4034964000.0,2711013000.0,585311000.0,410351000.0,822747000.0,0.0,6233693000.0,2184546000.0,2616562000.0,1920015000.0,114446000.0,4049147000.0,226343000.0,593223000.0,-102445000.0,490778000.0,0.0089902205844843,False,0.10169880078236138,0.1450597824416773,0.0658279129241687,0.10134257906665281,1.3627820615984771,1.24489600341664,0.028264224539143675,,0.6472830792276745
ALLE,Allegion,Industrials,Building Products,4067300000.0,1838300000.0,859500000.0,643800000.0,1002600000.0,101000000.0,5223700000.0,3156100000.0,1391800000.0,755400000.0,1980100000.0,2067600000.0,519000000.0,783800000.0,-98100000.0,685700000.0,0.0782302104872488,False,0.158286824183119,0.21131954859489097,0.1232459750751383,0.3113755078351712,1.842467566851999,1.1554143500132381,0.9576804023989166,8.509900990099009,0.7786243467274154
LNT,Alliant Energy,Utilities,Electric Utilities,4362000000.0,1992000000.0,1025000000.0,810000000.0,1993000000.0,486000000.0,24991000000.0,17657000000.0,1697000000.0,2123000000.0,12116000000.0,7334000000.0,288000000.0,1169000000.0,,1169000000.0,0.095704596834966,False,0.1856946354883081,0.23498395231545163,0.0324116682005522,0.11044450504499591,0.7993405558172397,0.6636834667922751,1.6520316334878646,2.1090534979423867,0.17454283542075147
ALL,Allstate,Financials,Property & Casualty Insurance,67069000000.0,,,10282000000.0,,399000000.0,119758000000.0,89169000000.0,,,7490000000.0,30610000000.0,0.0,10110000000.0,-228000000.0,9882000000.0,0.0559552861528772,False,0.15330480549881464,,0.08585647722907865,0.3359032995753022,,,,,0.5600377427812756
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,402836000000.0,240301000000.0,129039000000.0,132170000000.0,180698000000.0,736000000.0,595281000000.0,180016000000.0,206038000000.0,102745000000.0,59291000000.0,415265000000.0,0.0,164713000000.0,-91447000000.0,73266000000.0,0.1509008108154437,False,0.3280987796522654,0.32032638592380025,0.22202959610671263,0.3182786895115167,2.005333592875566,2.005333592875566,0.14277870757227312,175.32472826086956,0.6767157023321759
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,402836000000.0,240301000000.0,129039000000.0,132170000000.0,180698000000.0,736000000.0,595281000000.0,180016000000.0,206038000000.0,102745000000.0,59291000000.0,415265000000.0,0.0,164713000000.0,-91447000000.0,73266000000.0,0.1509008108154437,False,0.3280987796522654,0.32032638592380025,0.22202959610671263,0.3182786895115167,2.005333592875566,2.005333592875566,0.14277870757227312,175.32472826086956,0.6767157023321759
MO,Altria,Consumer Staples,Tobacco,20139000000.0,14542000000.0,12035000000.0,6947000000.0,10832000000.0,1177000000.0,35017000000.0,38469000000.0,5932000000.0,9154000000.0,25709000000.0,-3502000000.0,1070000000.0,9290000000.0,-216000000.0,9074000000.0,-0.0149188025826648,True,0.3449525795719748,0.5975967029147425,0.19838935374246794,,0.6480227223071882,0.5311339305221761,,10.225148683092609,0.5751206556815261
AMZN,Amazon,Consumer Discretionary,Broadline Retail,716924000000.0,360510000000.0,79975000000.0,77670000000.0,165341000000.0,2274000000.0,818042000000.0,406977000000.0,229083000000.0,218005000000.0,152987000000.0,411065000000.0,38325000000.0,139514000000.0,-131819000000.0,7695000000.0,0.1237775468329469,False,0.10833784334183261,0.11155296795755199,0.09494622525493801,0.1889482198679041,1.0508153482718285,0.8750166280589895,0.37217228418863196,35.16930518909411,0.8763902097936291
